 npl time [msec]
 19718  28400.4966
 rpl   zpl  tokpl
  438.28125  145.3125  0.0113447707
  438.28125  150.  0.0113434393
  438.28125  154.6875  0.0116850793
  438.28125  159.375  0.0123800131
  438.28125  164.0625  0.0134996824
  438.28125  168.75  0.0151296785
  438.28125  173.4375  0.0173779591
  438.28125  178.125  0.0203891651
  438.28125  182.8125  0.0243507482
  438.28125  187.5  0.0295499169
  438.28125  192.1875  0.0379453912
  438.28125  196.875  0.0480940301
  438.28125  201.5625  0.0601772643
  438.28125  206.25  0.0744145514
  438.28125  210.9375  0.0909598869
  438.28125  215.625  0.109997528
  438.28125  220.3125  0.131760456
  438.28125  225.  0.156346401
  438.28125  229.6875  0.183938232
  438.28125  234.375  0.214690357
  438.28125  239.0625  0.248839508
  438.28125  243.75  0.293864568
  438.28125  248.4375  0.342553904
  438.28125  253.125  0.393574783
  438.28125  257.8125  0.446098034
  438.28125  262.5  0.499390857
  438.28125  267.1875  0.552526083
  438.28125  271.875  0.604355279
  438.28125  276.5625  0.655985292
  438.28125  281.25  0.711949287
  438.28125  285.9375  0.761107692
  438.28125  290.625  0.800139468
  438.28125  295.3125  0.824921068
  438.28125  300.  0.830961328
  438.28125  304.6875  0.812754141
  438.28125  309.375  0.694538997
  438.28125  314.0625  0.553995106
  438.28125  318.75  0.401364288
  438.28125  323.4375  0.248908061
  438.28125  328.125  0.110288523
  438.28125  332.8125  0.068619294
  438.28125  337.5  0.0586622069
  438.28125  342.1875  0.0677046746
  438.28125  346.875  0.0886762273
  438.28125  351.5625  0.113441014
  438.28125  356.25  0.132659063
  438.28125  360.9375  0.135474742
  438.28125  365.625  0.110116741
  440.625 -46.875  0.133880746
  440.625 -42.1875  0.14102335
  440.625 -37.5  0.122536487
  440.625 -32.8125  0.0937624508
  440.625 -28.125  0.0700511259
  440.625 -23.4375  0.0671260397
  440.625 -18.75  0.100340775
  440.625 -14.0625  0.271411816
  440.625 -9.375  0.476793009
  440.625 -4.6875  0.675432299
  440.625  0.  0.81740275
  440.625  4.6875  0.82496146
  440.625  9.375  0.789331231
  440.625  14.0625  0.723395037
  440.625  18.75  0.639166149
  440.625  23.4375  0.561019212
  440.625  28.125  0.478979964
  440.625  32.8125  0.39686848
  440.625  37.5  0.318110695
  440.625  42.1875  0.246555732
  440.625  46.875  0.194464008
  440.625  51.5625  0.149908279
  440.625  56.25  0.112309596
  440.625  60.9375  0.0811222312
  440.625  65.625  0.0558279622
  440.625  70.3125  0.0358396892
  440.625  75.  0.0229723441
  440.625  79.6875  0.0152047189
  440.625  84.375  0.0103395325
  440.625  89.0625  0.0076831302
  440.625  93.75  0.00665010024
  440.625  98.4375  0.00676190633
  440.625  103.125  0.00762657765
  440.625  107.8125  0.00893415193
  440.625  112.5  0.0104505696
  440.625  117.1875  0.0119946726
  440.625  121.875  0.0134320074
  440.625  126.5625  0.0146818268
  440.625  131.25  0.0156646893
  440.625  135.9375  0.0163468594
  440.625  140.625  0.0167115959
  440.625  145.3125  0.0167339407
  440.625  150.  0.0164330542
  440.625  154.6875  0.0158076314
  440.625  159.375  0.0148955939
  440.625  164.0625  0.0137403712
  440.625  168.75  0.0123928101
  440.625  173.4375  0.0109388108
  440.625  178.125  0.0094859768
  440.625  182.8125  0.00816443518
  440.625  187.5  0.00713836851
  440.625  192.1875  0.00660904824
  440.625  196.875  0.00681061784
  440.625  201.5625  0.00801643392
  440.625  206.25  0.0105329187
  440.625  210.9375  0.0147027295
  440.625  215.625  0.0209039355
  440.625  220.3125  0.0295549496
  440.625  225.  0.0441878316
  440.625  229.6875  0.0621014725
  440.625  234.375  0.0834183538
  440.625  239.0625  0.10830013
  440.625  243.75  0.13692099
  440.625  248.4375  0.169348848
  440.625  253.125  0.205674519
  440.625  257.8125  0.245991221
  440.625  262.5  0.298749074
  440.625  267.1875  0.355949826
  440.625  271.875  0.415320641
  440.625  276.5625  0.475681947
  440.625  281.25  0.535803674
  440.625  285.9375  0.594405344
  440.625  290.625  0.651870906
  440.625  295.3125  0.713806984
  440.625  300.  0.766852723
  440.625  304.6875  0.806322273
  440.625  309.375  0.826592727
  440.625  314.0625  0.820921407
  440.625  318.75  0.735012887
  440.625  323.4375  0.586234856
  440.625  328.125  0.419839788
  440.625  332.8125  0.252363185
  440.625  337.5  0.104069504
  440.625  342.1875  0.0706152987
  440.625  346.875  0.0659263079
  440.625  351.5625  0.08130802
  440.625  356.25  0.106969222
  440.625  360.9375  0.131582777
  440.625  365.625  0.142259936
  440.625  370.3125  0.124809131
  442.96875 -60.9375  0.138214727
  442.96875 -56.25  0.146364648
  442.96875 -51.5625  0.128005762
  442.96875 -46.875  0.0989269577
  442.96875 -42.1875  0.0753405665
  442.96875 -37.5  0.0743925799
  442.96875 -32.8125  0.117139786
  442.96875 -28.125  0.308241375
  442.96875 -23.4375  0.522591953
  442.96875 -18.75  0.723142316
  442.96875 -14.0625  0.822267709
  442.96875 -9.375  0.811262601
  442.96875 -4.6875  0.756983106
  442.96875  0.  0.67377547
  442.96875  4.6875  0.585396159
  442.96875  9.375  0.495977717
  442.96875  14.0625  0.404470042
  442.96875  18.75  0.315652599
  442.96875  23.4375  0.236848151
  442.96875  28.125  0.178686929
  442.96875  32.8125  0.12963648
  442.96875  37.5  0.0891635421
  442.96875  42.1875  0.0568422443
  442.96875  46.875  0.0320684594
  442.96875  51.5625  0.018721851
  442.96875  56.25  0.0111891358
  442.96875  60.9375  0.00787734211
  442.96875  65.625  0.00770963629
  442.96875  70.3125  0.00976171407
  442.96875  75.  0.0132666472
  442.96875  79.6875  0.0176132296
  442.96875  84.375  0.0206086308
  442.96875  89.0625  0.0231437931
  442.96875  93.75  0.0257794061
  442.96875  98.4375  0.0283901096
  442.96875  103.125  0.0308757909
  442.96875  107.8125  0.0331637781
  442.96875  112.5  0.0352008717
  442.96875  117.1875  0.0369462133
  442.96875  121.875  0.0383818422
  442.96875  126.5625  0.0394863085
  442.96875  131.25  0.0402538651
  442.96875  135.9375  0.0406835857
  442.96875  140.625  0.0407673847
  442.96875  145.3125  0.0405183091
  442.96875  150.  0.0399331464
  442.96875  154.6875  0.0390276718
  442.96875  159.375  0.0378049807
  442.96875  164.0625  0.0362970857
  442.96875  168.75  0.0345104186
  442.96875  173.4375  0.0324962303
  442.96875  178.125  0.0302891052
  442.96875  182.8125  0.027945711
  442.96875  187.5  0.0255348371
  442.96875  192.1875  0.02313021
  442.96875  196.875  0.0208372861
  442.96875  201.5625  0.018535739
  442.96875  206.25  0.0145787276
  442.96875  210.9375  0.0111757554
  442.96875  215.625  0.00868142524
  442.96875  220.3125  0.00749876761
  442.96875  225.  0.00807975747
  442.96875  229.6875  0.0109213836
  442.96875  234.375  0.016558306
  442.96875  239.0625  0.0255539896
  442.96875  243.75  0.0408047092
  442.96875  248.4375  0.0620923693
  442.96875  253.125  0.08775644
  442.96875  257.8125  0.117976524
  442.96875  262.5  0.152698981
  442.96875  267.1875  0.19212405
  442.96875  271.875  0.236179562
  442.96875  276.5625  0.292392582
  442.96875  281.25  0.355543038
  442.96875  285.9375  0.42105115
  442.96875  290.625  0.487368603
  442.96875  295.3125  0.552792342
  442.96875  300.  0.61578455
  442.96875  304.6875  0.681913224
  442.96875  309.375  0.744468474
  442.96875  314.0625  0.793117318
  442.96875  318.75  0.820920597
  442.96875  323.4375  0.819342199
  442.96875  328.125  0.731340732
  442.96875  332.8125  0.567997592
  442.96875  337.5  0.385851857
  442.96875  342.1875  0.207478623
  442.96875  346.875  0.0923834948
  442.96875  351.5625  0.0713125043
  442.96875  356.25  0.0791371964
  442.96875  360.9375  0.103757552
  442.96875  365.625  0.131514642
  442.96875  370.3125  0.147159825
  442.96875  375.  0.133589907
  445.3125 -75.  0.138909744
  445.3125 -70.3125  0.152358589
  445.3125 -65.625  0.13700417
  445.3125 -60.9375  0.108468017
  445.3125 -56.25  0.0832203575
  445.3125 -51.5625  0.0791285531
  445.3125 -46.875  0.114669476
  445.3125 -42.1875  0.304019351
  445.3125 -37.5  0.523039897
  445.3125 -32.8125  0.728364814
  445.3125 -28.125  0.81999381
  445.3125 -23.4375  0.802499938
  445.3125 -18.75  0.739463568
  445.3125 -14.0625  0.646631409
  445.3125 -9.375  0.554409787
  445.3125 -4.6875  0.456960345
  445.3125  0.  0.358663626
  445.3125  4.6875  0.265297809
  445.3125  9.375  0.194799434
  445.3125  14.0625  0.137744191
  445.3125  18.75  0.0910497313
  445.3125  23.4375  0.0543154095
  445.3125  28.125  0.0281516663
  445.3125  32.8125  0.0153381928
  445.3125  37.5  0.00935362751
  445.3125  42.1875  0.00854146865
  445.3125  46.875  0.0114238887
  445.3125  51.5625  0.016723064
  445.3125  56.25  0.0215435733
  445.3125  60.9375  0.0254855582
  445.3125  65.625  0.0299143055
  445.3125  70.3125  0.0345670845
  445.3125  75.  0.0392278108
  445.3125  79.6875  0.0437480053
  445.3125  84.375  0.0479958204
  445.3125  89.0625  0.051895697
  445.3125  93.75  0.0553892376
  445.3125  98.4375  0.0572864848
  445.3125  103.125  0.0588820772
  445.3125  107.8125  0.060227384
  445.3125  112.5  0.0613443417
  445.3125  117.1875  0.0622477177
  445.3125  121.875  0.0629391268
  445.3125  126.5625  0.0634304234
  445.3125  131.25  0.063725199
  445.3125  135.9375  0.0638236818
  445.3125  140.625  0.0637292127
  445.3125  145.3125  0.0634422477
  445.3125  150.  0.0629670102
  445.3125  154.6875  0.0622991414
  445.3125  159.375  0.0614442244
  445.3125  164.0625  0.0603949985
  445.3125  168.75  0.0591444128
  445.3125  173.4375  0.0576842917
  445.3125  178.125  0.0560005088
  445.3125  182.8125  0.0532146961
  445.3125  187.5  0.0497617515
  445.3125  192.1875  0.046021055
  445.3125  196.875  0.0420465356
  445.3125  201.5625  0.0379208651
  445.3125  206.25  0.0337510913
  445.3125  210.9375  0.0296617745
  445.3125  215.625  0.0257948294
  445.3125  220.3125  0.0223149749
  445.3125  225.  0.0189803463
  445.3125  229.6875  0.0138996816
  445.3125  234.375  0.0101652285
  445.3125  239.0625  0.00839328349
  445.3125  243.75  0.00925336953
  445.3125  248.4375  0.0134412399
  445.3125  253.125  0.0216768769
  445.3125  257.8125  0.0356775555
  445.3125  262.5  0.0585393038
  445.3125  267.1875  0.0866885399
  445.3125  271.875  0.1201826
  445.3125  276.5625  0.159008316
  445.3125  281.25  0.203142798
  445.3125  285.9375  0.253150565
  445.3125  290.625  0.319300458
  445.3125  295.3125  0.388871468
  445.3125  300.  0.460146236
  445.3125  304.6875  0.53115758
  445.3125  309.375  0.59987352
  445.3125  314.0625  0.66973017
  445.3125  318.75  0.738218165
  445.3125  323.4375  0.790967886
  445.3125  328.125  0.818991047
  445.3125  332.8125  0.811010789
  445.3125  337.5  0.682876115
  445.3125  342.1875  0.497662958
  445.3125  346.875  0.300464425
  445.3125  351.5625  0.121470697
  445.3125  356.25  0.0807648664
  445.3125  360.9375  0.0809659567
  445.3125  365.625  0.104183711
  445.3125  370.3125  0.133992331
  445.3125  375.  0.15208874
  445.3125  379.6875  0.138255338
  447.65625 -89.0625  0.134835321
  447.65625 -84.375  0.157388596
  447.65625 -79.6875  0.148099386
  447.65625 -75.  0.121671041
  447.65625 -70.3125  0.0941096427
  447.65625 -65.625  0.0832677298
  447.65625 -60.9375  0.108098829
  447.65625 -56.25  0.265306907
  447.65625 -51.5625  0.484530557
  447.65625 -46.875  0.697676648
  447.65625 -42.1875  0.814893926
  447.65625 -37.5  0.802513227
  447.65625 -32.8125  0.739835901
  447.65625 -28.125  0.643890711
  447.65625 -23.4375  0.547211023
  447.65625 -18.75  0.444283133
  447.65625 -14.0625  0.340518954
  447.65625 -9.375  0.244120444
  447.65625 -4.6875  0.174642616
  447.65625  0.  0.117042521
  447.65625  4.6875  0.0711560946
  447.65625  9.375  0.0366860744
  447.65625  14.0625  0.0185562125
